JOSE, HIDALGO, PEREZ ZELEDON,  79, M, N
ESPERANZA, MONTES, PURISCAL,  77, F, A
HEBER, QUIROS, PURISCAL,  45, M, N
VICTOR MANUEL, ABARCA, PEREZ ZELEDON,  36, M, F
ESPERANZA, DURAN, TURRIALBA,  79, F, A
ELSA, ZUÑIGA, DESAMPARADOS,  42, F, A
DAISY, DIAZ, MONTES DE OCA,  22, F, F
RAFAEL, VARGAS, TURRIALBA,  8, M, A
RUDECINDA, MENA, PURISCAL,  50, F, A
ISMELDA, JIMENEZ, TIBAS,  84, F, N
ANGELICA, ORTIZ, PEREZ ZELEDON,  87, F, A
JULIA, GUERRERO, CENTRAL,  30, F, A
JUANA, MORA, DOTA,  88, F, N
DORA, BERROCAL, PURISCAL,  13, F, A
MARIO, ROJAS, MORAVIA,  27, M, F
CECILIA, FILLOY, GOICOECHEA,  16, F, F
MARIA ELENA, MORALES, CENTRAL,  64, F, A
MIRIAM, FAITH, MONTES DE OCA,  18, F, N
JOSEFINA, HERRERA, ESCAZU,  63, F, N
